variable;unit;min;max;definition
Forcing|Kyoto Gases;W/m2;NA;1000;radiative forcing of the six Kyoto gases (CO2, CH4, N2O, SF6, HFCs, PFCs)
Price|Carbon;US$2005/t CO2;NA;1000;marginal cost of abatement
Price|N2O;US$2005/t N2O;NA;1000;marginal cost of abatement
Price|CH4;US$2005/t CH4;NA;1000;marginal cost of abatement
Price|Primary Energy|Oil;US$2005/GJ;NA;1000;crude oil price at the primary level (i.e. the spot price at the global or regional market)
Price|Primary Energy|Gas;US$2005/GJ;NA;1000;natural gas price at the primary level (i.e. the spot price at the global or regional market)
Price|Primary Energy|Coal;US$2005/GJ;NA;1000;coal price at the primary level (i.e. the spot price at the global or regional market)
Price|Secondary Energy|Liquids|Oil;US$2005/GJ;NA;1000;light fuel oil price at the secondary level, i.e. for large scale consumers (e.g. oil power plant). Prices should include the effect of carbon prices.
Price|Secondary Energy|Gases|Natural Gas;US$2005/GJ;NA;1000;natural gas price at the secondary level, i.e. for large scale consumers (e.g. gas power plant). Prices should include the effect of carbon prices.
Price|Secondary Energy|Solids|Coal;US$2005/GJ;NA;1000;coal price at the secondary level, i.e. for large scale consumers (e.g. coal power plant). Prices should include the effect of carbon prices.
Price|Secondary Energy|Solids|Biomass;US$2005/GJ;NA;1000;biomass price at the secondary level, i.e. for large scale consumers (e.g. biomass power plant). Prices should include the effect of carbon prices.
Price|Primary Energy|Biomass;US$2005/GJ;NA;1000;biomass producer price
Price|Secondary Energy|Electricity;US$2005/GJ;NA;1000;electricity price at the secondary level, i.e. for large scale consumers (e.g. aluminum production).  Prices should include the effect of carbon prices.
Consumption;billion US$2005/yr;NA;1000;total consumption of all goods, by all consumers in a region
LCOE|Electricity|Coal|w/ CCS;US$2005/MWh;NA;1000;average levelized cost of electricity of coal-fired power with CCS  (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
LCOE|Electricity|Coal|w/o CCS;US$2005/MWh;NA;1000;average levelized cost of electricity of coal-fired power without CCS  (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
LCOE|Electricity|Gas|w/ CCS;US$2005/MWh;NA;1000;average levelized cost of electricity of gas-fired power with CCS  (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
LCOE|Electricity|Gas|w/o CCS;US$2005/MWh;NA;1000;average levelized cost of electricity of gas-fired power without CCS  (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
LCOE|Electricity|Nuclear;US$2005/MWh;NA;1000;average levelized cost of electricity of nuclear generated power (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
LCOE|Electricity|Non-Biomass Renewables;US$2005/MWh;NA;1000;average levelized cost of electricity of non-biomass renewable generated power (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
LCOE|Electricity|Solar|Marginal;US$2005/MWh;NA;1000;average levelized cost of electricity of solar power (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
LCOE|Electricity|Solar|Average;US$2005/MWh;NA;1000;marginal levelized cost of electricity of solar power (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
LCOE|Electricity|Wind|Marginal;US$2005/MWh;NA;1000;average levelized cost of electricity of wind power (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
LCOE|Electricity|Wind|Average;US$2005/MWh;NA;1000;marginal levelized cost of electricity of wind power (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
LCOE|Electricity|Biomass|w/ CCS;US$2005/MWh;NA;1000;average levelized cost of electricity of biomass generated power with CCS (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
LCOE|Electricity|Biomass|w/o CCS;US$2005/MWh;NA;1000;average levelized cost of electricity of biomass generated power without CCS (weighted by the share of electricity of the various power plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate.  LCOE should NOT include effect of carbon price.
Policy Cost|Area under MAC Curve;billion US$2005/yr;NA;1000;total costs of the policy, i.e. the area under the Marginal Abatement Cost (MAC) curve
Policy Cost|GDP Loss;billion US$2005/yr;NA;1000;GDP loss in a policy scenario compared to the corresponding baseline (losses should be reported as negative numbers)
Policy Cost|Consumption Loss;billion US$2005/yr;NA;1000;consumption loss in a policy scenario compared to the corresponding baseline (losses should be reported as negative numbers)
Policy Cost|Equivalent Variation;billion US$2005/yr;NA;1000;equivalent variation associated with the given policy
Policy Cost|Additional Total Energy System Cost;billion US$2005/yr;NA;1000;additional energy system cost associated with the policy
Policy Cost|Other;billion US$2005/yr;NA;1000;any other indicator of policy cost (e.g., compensated variation). (please indicate what type of policy cost is measured on the 'comments' tab)
Trade|Primary Energy|Coal|Volume;EJ/yr;NA;1000;net exports of coal, at the global level these should add up to the trade losses only
Trade|Primary Energy|Gas|Volume;EJ/yr;NA;1000;net exports of natural gas, at the global level these should add up to the trade losses only
